"All types","Все типы"
"Backup file ""%s"" can\'t read or write","Файл с резервной копией ""%s"" не удается прочесть или записать"
"Backup file ""%s"" doesn\'t exist","Файл с резервной копией ""%s"" не найден"
"Backup file doesn't exist","Файл резервной копии не существует"
"Backup file handler don\'t specify","Не указан обработчки файла резервной копии"
"Backup file path don\'t specify","Не указан путь к файлу резервной копии"
"Backups","Резервные копии"
"Cannot read backup file","Не удается прочесть файл с резервной копией"
"Create Backup","Создать резервную копию"
"DB","БД"
"Database was successfuly backed up.","Резервная копия базы данных успешно создана"
"Download","Скачать"
"Error write to Backup file ""%s""","Ошибка при записи файла с резервной копией ""%s"""
"File compressed with Zlib, but this extension is not installed on server","Файл сжатый при помощи Zlib, но это расширение не установлен на сервере"
"Size, byte","Размер, байт"
"Unable to create backup. Please, try again later.","Не удалось создать резервную копию. Пожалуйста, попробуйте еще раз позже."
"Wrong order of creation for new backup","Неправильный порядок создания для новой резервной копии"
