"                           ",""
"API Password","API пароль"
"API Signature","API подпись"
"API User Name","ApI имя пользователя"
"Amex","Amex"
"Authorization","Авторизация"
"Authorize and Capture","Авторизовать и захватить"
"Business Account","Бизнес аккаунт"
"Business Name","Бизнес имя"
"Credit Card Types","Типы кредитных карт"
"Customer returned from PayPal site.","Покупатель вернулся с сайта PayPal."
"Debug Flag","Debug флаг"
"Discover","Исследовать"
"Error in creating an invoice","Ошибка при создании счета"
"Error in refunding the payment","Ошибка при возврате платежа"
"Invalid transaction id","Неправильный идентификатор транзакции"
"MasterCard","Mastercard"
"Maximum image size is 750x90 px.","Максимальный размер изображения 750x90 пикселей."
"Order total amount does not match paypal gross total amount","Общая сумма заказа не совпадаетс общей суммой PayPal"
"Page Style","Стиль страницы"
"PayPal Accounts","Аккаунты PayPal"
"PayPal Express Checkout","PayPal Express Checkout"
"PayPal Uk Account","Счет PayPal Uk"
"PayPal Website Payments Pro - Direct Payments","PayPal Website Payments Pro — Прямые платежи"
"PayPal Website Payments Standard","PayPal Website Payments Standard"
"Payment Action","Действие оплаты"
"Payment from Specific countries","Оплата для указанных стран"
"Payment from applicable countries","Оплата для всех возможных стран"
"Paypal Checkout","Оформление заказа Paypal"
"Paypal IPN Invalid %s.","Неправильный Paypal IPN  %s."
"Paypal Logo Image URL","URL логотипа Paypal"
"Paypal URL","Paypal URL"
"Please select a valid shipping method","Пожалуйста, выберите правильный тип доставки"
"Problem during communication with PayPal","Проблема во время соединения с PayPal"
"Proxy Host","Адрес прокси сервера"
"Proxy Port","Порт прокси сервера"
"Received IPN verification","Полученная IPN проверка"
"Sale","Продажа"
"Sandbox Flag","Sandbox флаг"
"Selected currency code (","Код выбранной валюты ("
"There has been an error processing your payment. Please try later or contact us for help.","Произошла ошибка при обработке вашего платежи. Попробуйте позже или свяжитесь с нами для помощи."
"There was an error connecting to the Paypal server: %s","Ошибка соединения с сервером Paypal: %s"
"There was an error during communication with Paypal: %s - %s","Ошибка передачи данных с сервером Paypal: %s - %s"
"Transaction Type","Тип транзакции"
"Unknown PayPal API error: %s","Неизвестная ошибка API Paypal: %s"
"Use Proxy","Использовать прокси-сервер"
"Visa","Visa"
"Website Payments Pro and Express Checkout (API Signature)","Website Payments Pro и Express Checkout (API Подпись)"
"Website Payments Standard","Website Payments Standard"
"Your billing address will be ignored and you will be redirected to PayPal UK website","Платежный адрес будут проигнорирован, и вы будете перенаправлены на сайт системы PayPal, Великобритания"
