"%1$s was successfully added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping","Товар: '%1$s' был успешно добавлен к отложенным товарам. Нажмите <a href='%2$s'>здесь</a> для продолжения покупок."
"%s's Wishlist","%s отложенных товаров"
"Add All to Cart","Положить все в корзину"
"Added On","Добавлено"
"Are You sure?","Are You sure?"
"Are you sure you want to remove this product from your wishlist?","Вы действительно хотите удалить этот товар из списка отложенных товаров?"
"Are you sure you would like to remove this item from the wishlist?","Are you sure you would like to remove this item from the wishlist?"
"Can\'t save description %s","Не удается сохранить описание %s"
"Cannot create wishlist","Не удается создать список отложенных товаров"
"Cannot specify product","Не удается указать товар"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Установите этот флажок, если хотите добавить ссылку на rss канал списка ваших отложенных товаров."
"Email address can\'t be empty.","Email address can\'t be empty."
"Email addresses, separated by commas","Email адреса, разделенные запятыми"
"General Options","Общие параметры"
"Go to Wishlist","Посмотреть отложенные товары"
"Last Added Items","Последние добавленные товары"
"My Wishlist","Отложенные товары"
"My Wishlist (%d item)","Отложенные товары (%d шт.)"
"My Wishlist (%d items)","Отложенные товары (%d шт.)"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Пожалуйста, введите адреса электронной почты, разделенные запятыми. Например, johndoe@domain.com, johnsmith@domain.com."
"Please, enter your comments...","Пожалуйста, введите ваши комментарии ..."
"RSS Feed","RSS Feed"
"RSS link to %s's wishlist","Rss ссылку на отложенные товары (%s)"
"Share Wishlist","Опубликовать список отложенных товаров"
"Share Your Wishlist","Опубликовать ваш список отложенных товаров"
"Share options","Опции разделения"
"Sharing Information","Sharing Information"
"There was an error while adding item to wishlist.","There was an error while adding item to wishlist."
"There was an error while adding item to wishlist: %s","Возникла ошибка при добавлении товара в список отложенных товаров: %s"
"There was an error while deleting item from wishlist.","Ошибка при удалении товара из списка отложенных товаров."
"There was an error while deleting item from wishlist: %s","Возникла ошибка при удалении товара из списка отложенных товаров: %s"
"This product(s) is currently out of stock:","This product(s) is currently out of stock:"
"Update Wishlist","Обновить отложенные товары"
"View Product","Cмотреть товар"
"Wishlist Section","Wishlist Section"
"Wishlist Sharing","Публикация отложенных товаров"
"Wishlist is empty now.","Отложенных товаров еще нет."
"You have no items in your wishlist.","У вас нет отложенных товаров"
"You input not valid email address.","Вы вводите неверный адрес электронной почты."
"Your Wishlist was successfully shared","Список отложенных товаров успешно опубликован"
