"%s is not correct comparsion method.","%s - неверный метод сравнения."
"<strong>Please note</strong>, that these Settings are applicable to cart line Items, not the whole Cart.","<strong>Внимание</strong>, эти настройки действуют для товаров в корзине, а не для всей корзины."
"Allow Qty Below 0","Разрешить количество ниже 0"
"Allow Qty Below 0 and Notify Customer","Разрешить количество ниже 0 и уведомить пользователя"
"Can not specify product identifier for order item","Не могу указать идентификатор товара для заказа"
"Catalog Inventory","Товары каталога"
"Decrease Stock When Order is Placed","Уменьшать количество товара в момент оформления заказа"
"Inventory API","API каталога"
"Inventory Section","Раздел каталога"
"No Backorders","Нет возвратных заказов"
"Product Stock Options","Настройки наличия товара"
"Qty for Items' Status to become Out of Stock","Количество товара, при котором он будет считаться отсутствующем в наличии"
"Retrieve stock data","Получить данные"
"Retrieve stock data by product ids","Получить данные по ID товара"
"Rule price","Цена для правиа"
"Set Items' Status to be In Stock When Order is Cancelled","Установить наличие товара при отмене заказа"
"Some of the products are currently out of stock","Некоторых товаров нет в наличии"
"Some of the products can not be ordered in requested quantity","Некоторые товары невозможно заказать в указанном количестве"
"Some of the products cannot be ordered in the requested quantity","Некоторые товары невозможно заказать в указанном количестве"
"Stock Options","Варианты наличия"
"Stock item for Product in option is not valid","Неверное количество выбранного товара"
"Stock item for Product is not valid","Неверное количество товара"
"The maximum quantity allowed for purchase is %s.","Максимальное количество, разрешённое к продаже: %s."
"The minimum quantity allowed for purchase is %s.","Минимальное количество, разрешённое к продаже: %s."
"The requested quantity for ""%s"" is not available.","Запрашиваемое количество для товара ""%s"" не доступно."
"The requested quantity is not available.","Запрашиваемое количество недоступно"
"This product is currently out of stock.","Данного товара в настоящее время нет в наличии."
"Update product stock data","Обновить данные о наличии товара"
