"Add Gift Message","Добавить поздравительное сообщение"
"Allow Gift Messages for Order Items","Разрешить поздравительные сообщения для товаров заказа"
"Allow Gift Messages on Order Level","Разрешить поздравительные сообщения на уровне заказа"
"Check this checkbox if you want to add gift messages to your items.","Отметьте этот флажок, если вы хотите добавить поздравительное сообщение для ваших товаров"
"Check this checkbox if you want to add gift messages.","Отметьте этот флажок, если вы хотите добавить поздравительное сообщение."
"Do you have any gift items in your order?","У вас есть какие-либо поздравительные товары в вашем заказе ?"
"Edit Gift Message","Редактировать поздравительное сообщение"
"Enter a gift message for each item in your order.","Редактировать поздравительное сообщение для каждого товара вашего заказа"
"Enter a gift message for entire order.","Ввести поздравительное сообщение для всего заказа"
"Enter a gift message for this address.","Ввести поздравительное сообщение для этого адреса"
"Error while saving gift message","Ошибка при сохранении поздравительного сообщения"
"Gift Messages","Поздравительные сообщения"
"Gift message has been successfully saved","Поздравительное сообщение было успешно сохранено"
"Item %d of %d","Товар %d из %d."
"Save Gift Message","Сохранить поздравительное сообщение"
"Unknown entity type","Неизвестный тип сущности"
"Use config","Использовать конфиг-файл"
"You can leave a box blank if you don\'t wish to add a gift message for the item.","Вы можете оставить поле пустым, если вы не хотите обавлять поздравительное сообщение для этого товара"
"You can leave a box blank if you don\'t wish to add a gift message for this address.","Вы можете оставить поле пустым, если вы не хотите обавлять поздравительное сообщение для этого адреса"
"You can leave a box blank if you don\'t wish to add a gift message for whole order.","Вы можете оставить поле пустым, если вы не хотите обавлять поздравительное сообщение для заказа"
"Your gift message has been successfully removed","Ваше поздравительное сообщение удалено"
"Your gift message has been successfully saved","Ваше поздравительное сообщение сохранено"
"Your gift message successfully removed","Ваше поздравительное сообщение удалено"
"Your gift message successfully saved","Ваше поздравительное сообщение сохранено"
