"-- Please select --","-- Пожалуйста, выберите --"
"Allowed currencies","Разрешенные валюты"
"Base currency","Базовая валюта"
"Cannot retrieve rate from %s","Не удается получить тариф от %s"
"Continue &raquo;","Продолжить &raquo;"
"Country Api","Api страны"
"Country and Format Type combination should be unique","Сочетание страны и типа формата должно быть уникальным"
"Currency","Валюта"
"Currency Options","Опции валюты"
"Currency Setup","Настройки валюты"
"Currency Update Warnings","Предупреждение обновления валюты"
"Currency will be used for all online payment transactions","Валюта должна быть использована для всех онлайн сделок"
"Default display currency","Валюта, отображаемая по умолчанию"
"Directory","Директория"
"FATAL ERROR:","Критическая ошибка:"
"Installed Currencies","Установленные валюты"
"Invalid Import Service Specified","Указан неправильный сервис импорта"
"Invalid country code: %s","Неверный код страны: %s"
"Invalid rates received","Получены неправильные ставки"
"Invalid target currency","Неверная валюта назначения"
"List of countries","Список стран"
"List of regions in specified country","Список областей в выбранной стране"
"Region","Регион"
"Region Api","Api области"
"Remove space from currency sign","Удалите символ «Пробел» из обозначения валюты"
"Scheduled Import Settings","Запланированный импорт настроек"
"Select Your Currency","Выберите вашу валюту"
"Service","Сервис"
"Strikeiron Email Update Warnings","Strikeiron Email Update Warnings"
"Unable to initialize import model","Не удается инициализировать модель импорта"
"Undefined rate from ""%s-%s""","Неопределенная ставка от""%s-%s"""
"WARNING:","Внимание!"
"Your current currency is: %s","Текущая валюта: %s"
