"%s was added to your shopping cart.","Товар '%s' успешно добавлен в вашу корзину."
"&laquo; Back to Billing Information","&laquo;назад к информации об оплате"
"&laquo; Back to Select Addresses","&laquo;назад к выбору адреса"
"&laquo; Back to Shopping Cart","&laquo;назад в корзину"
"Add New Condition","Добавить новое условие"
"Address %s of %s","Адрес %s из %s"
"After adding a product redirect to shopping cart","После добавления товара перенаправить в корзину"
"Allow Guest Checkout","Позволить гостям оформлять заказ"
"Already registered?","Уже зарегистрированы?"
"An error occurred in the process of payment","В ходе оплаты произошла ошибка"
"Apply Coupon","Использовать сертификат"
"Are you sure you would like to remove this item from the shopping cart?","Вы уверены, что хотите удалить этот товар из корзины?"
"Back to Shipping Information","Назад к информации о доставке"
"Based on your selection, you may be interested in the following items:","Вы можете быть заинтересованы в следующих товарах:"
"Billing Information - %s","Информация об оплате - %s"
"Can not add item to shopping cart","Не удается добавить товар в корзину"
"Can not apply coupon code.","Не удается использовать код сертификата."
"Can\'t open overview page","Страница описания не открывается"
"Cancel Coupon","Отменить сертификат"
"Cannot remove item","Не удается удалить товар"
"Cannot update shopping cart","Не удается обновить корзину"
"Card Verification Number Visual Reference","Информация о виде проверочного кода на карте"
"Cart Subtotal:","Итого в корзине:"
"Change Billing Address","Изменить адрес оплаты"
"Checkbox text","Текст для галочки"
"Checkout","Оформить заказ"
"Checkout Conditions","Условия заказа"
"Checkout Options","Варианты оформления"
"Checkout Section","Раздел заказа"
"Checkout Terms and Conditions","Соглашение о заказе"
"Checkout as Guest","Оформить заказ без регистрации"
"Checkout as a Guest or Register","Оформить заказ без регистрации или зарегистрироваться"

"Checkout method","Метод оформления заказа"
// ITEAMO . CORRECTION <<<
"Login","Вход"
"Checkout Method","Авторизация"
// >>> ITEAMO . CORRECTION 
"Checkout with Multiple Addresses","Оформить заказ на несколько адресов"
"Click <a href=""%s"" onclick=""this.target=\'_blank\'"">here to print</a> a copy of your order confirmation.","Нажмите <a href=""%s"" onclick=""this.target=\'_blank\'"">здесь для распечатки</a> копии подтверждения Вашего заказа."
"Company","Компания"
"Condition Name","Название условия"
"Condition was successfully deleted","Условие было успешно удалено"
"Condition was successfully saved","Условие было успешно сохранено"
"Configurable product image","Настраиваемое изображение товара"
"Confirm Password","Подтвердите пароль"
"Content Height","Высота"
"Content Height (css)","Высота (CSS)"
"Continue Shopping","Продолжить выбор товаров"
"Continue to Billing Information","Перейти к платежной информации"
